Alpha Power,Beta Power,Theta Power,Delta Power,Status
4.869867514210757e-12,8.899488974879563e-13,1.0979472226787972e-11,9.751207528360051e-11,C
4.26767742839946e-12,8.272847807482689e-13,1.002801166235644e-11,9.612584859887914e-11,C
6.4760323985957474e-12,1.1433616886383868e-12,1.0145638647147102e-11,8.994391301196597e-11,C
4.478278451745292e-11,8.151264892244686e-12,1.373978031432266e-10,1.0283606176525719e-09,C
1.0167312787247669e-11,1.1907727905447831e-12,1.1721789209120942e-11,8.965429747752956e-11,C
6.555644273744318e-12,1.5292981774943596e-12,9.907707871519145e-12,8.575695245955467e-11,C
2.745631117670281e-10,8.061695844729372e-11,7.2944385922712e-10,1.5646361758774617e-09,C
5.991911696900448e-12,8.776104146530158e-13,9.606145237859676e-12,8.967596197013246e-11,C
6.927650650583177e-12,1.311989645227404e-12,9.164745301967837e-12,8.815207254751394e-11,C
2.752489453130587e-12,7.952880424751613e-13,9.23859333803548e-12,9.054914317443582e-11,C
2.7293130274549734e-12,9.68839644605515e-13,9.20426035248671e-12,9.640230636086563e-11,C
4.1112308119802625e-12,6.067980285817717e-13,9.685405676968502e-12,1.0500958317995473e-10,C
1.100858615567686e-11,8.781434372410824e-13,9.963012909258075e-12,8.677763988871938e-11,C
3.539689096089889e-12,7.743595907368099e-13,9.436511713827157e-12,8.083869978587763e-11,C
2.4486441837602508e-11,1.7533518761117417e-12,1.2439998249950337e-11,1.0802183366649443e-10,C
3.2646369176645582e-12,8.536434948927212e-13,9.145134217966976e-12,9.465439722112943e-11,C
4.50818391186369e-12,7.187954705651553e-13,1.3685784127506385e-11,9.917425587189809e-11,F
5.773868421583015e-12,4.515883221994163e-12,9.963150573519385e-12,9.328781603090435e-11,F
3.943427901227917e-12,6.162180052088091e-13,8.8469089830643e-12,9.11748512768284e-11,F
8.561580385533946e-12,1.1311572424415356e-12,2.4815536082397396e-11,8.167630732233175e-11,F
2.742577750960224e-12,8.213768653237113e-13,8.837407792206508e-12,8.406132489013758e-11,F
4.792187884747071e-12,9.634243280870253e-13,9.087661473003759e-12,8.03858296212524e-11,F
3.117292426901675e-12,6.874583110243262e-13,1.3330547706780422e-11,9.670009117282699e-11,F
3.52349974829771e-12,5.615798511400598e-13,9.589322828715791e-12,8.63245426012732e-11,F
2.5457605438912378e-11,5.490523313130626e-12,1.0991241777340725e-10,6.76409329159955e-10,F
2.9084669274555193e-11,8.351820045383567e-12,7.844207994733622e-11,5.64282916461836e-10,F
3.850564812630968e-11,7.146044508493348e-12,1.3816488625091796e-10,8.702572336528185e-10,F
2.469561244438889e-12,7.342526444740276e-13,9.38656975997406e-12,1.0201671634716722e-10,F
2.502117225081541e-12,7.654637566008337e-13,8.856998138166942e-12,9.542270119699582e-11,F
1.6264241983604266e-11,5.02106227310918e-12,4.3873905909095396e-11,2.917838081347896e-10,F
1.248243346905527e-11,1.4769615230343768e-12,1.0895761673535432e-11,1.0268778578539188e-10,F
2.7500473943761667e-12,5.216899855977464e-13,1.012581716247972e-11,9.367078835048107e-11,F
4.43089886502428e-12,7.26564816914345e-13,9.432235575509744e-12,9.605071097017342e-11,F
2.3826422774193766e-12,5.934166471183309e-13,9.411068650706326e-12,9.180255255386474e-11,F
2.5532406739906976e-12,7.113116583134078e-13,1.0420082425545826e-11,7.358202461792462e-11,F
3.706775098517769e-11,6.672620754808021e-12,8.619556575295126e-11,7.083596076585723e-10,F
6.705734225465199e-12,5.401861253236155e-12,1.3307720632100312e-11,1.4684181960373517e-10,F
3.611151094713931e-12,6.954708675016842e-13,1.2141574706535458e-11,1.2079857939146423e-10,F
6.101203673263281e-12,1.0332788112372415e-12,1.057613990923378e-11,8.981780587663185e-11,F
