Subject,Channel,Alpha Power,Beta Power,Theta Power,Delta Power
sub-003,F8,7.231609132334591e-12,6.084964458589752e-13,1.4610952175265253e-11,6.954438558447797e-11
sub-003,T3,6.509117899027615e-12,5.675037980100013e-13,1.2872764780760641e-11,6.699356737625991e-11
sub-003,T4,5.913453335008734e-12,5.556966016842992e-13,1.2431255420162592e-11,6.545770214441696e-11
sub-003,T5,1.304747505360876e-11,6.601446081765314e-13,1.9093687072626494e-11,7.20449812741227e-11
sub-003,T6,2.07781624001948e-11,6.768678689830868e-13,1.7691783633394808e-11,6.940673607755519e-11
sub-003,Fz,6.156312854533449e-12,5.406872884220523e-13,1.335820938187509e-11,6.58314254205083e-11
sub-003,Cz,3.5278448697583495e-12,5.281449264683571e-13,1.0234180925557292e-11,6.408938611051432e-11
sub-003,Pz,7.026623566271328e-12,5.670702371552481e-13,1.218940091869362e-11,6.26848024180694e-11
sub-004,Fp1,3.0326044748859953e-12,1.493050438273433e-12,1.390475288240293e-11,2.017956442690917e-10
sub-004,Fp2,2.9006243826849606e-12,1.373213088495944e-12,1.240028100245455e-11,1.047904687775709e-10
sub-004,F3,2.5946311788531685e-12,1.4860676487503232e-12,1.0540672900918045e-11,8.734731859898582e-11
sub-004,F4,2.422303838255539e-12,8.722864580195028e-13,1.043298613204164e-11,8.542276397925525e-11
sub-004,C3,2.104653201326675e-12,5.838007479304742e-13,9.375250062851597e-12,8.145680349969653e-11
sub-004,C4,2.026322168594769e-12,5.695898209814733e-13,9.52936708282811e-12,8.08173766873561e-11
sub-004,P3,2.1320280018990667e-12,5.41768894326979e-13,9.641808485029248e-12,8.437786400156681e-11
sub-004,P4,2.1021979988923156e-12,6.084656320576918e-13,9.79717877413844e-12,8.454985981678874e-11
sub-004,O1,2.298436134486353e-12,6.396967370220092e-13,1.0188505689571808e-11,8.809569155964742e-11
sub-004,O2,2.220707675396002e-12,6.620842547146457e-13,1.0250910439049356e-11,8.92787850231257e-11
sub-004,F7,2.8681911638548774e-12,1.4538100186138127e-12,1.2857146181130661e-11,1.0079333993036119e-10
sub-004,F8,2.8938478403443807e-12,9.770264126288535e-13,1.2185034392759247e-11,8.883219216390327e-11
sub-004,T3,2.470342634694007e-12,1.0901428969026185e-12,1.2242097649699136e-11,9.132526219258886e-11
sub-004,T4,2.513981280677131e-12,1.2484101260107448e-12,1.1026626069315526e-11,8.494094842570122e-11
sub-004,T5,2.1900410643205208e-12,6.123855816308227e-13,1.0028128302066448e-11,8.592744340811332e-11
sub-004,T6,2.1691719870168975e-12,6.658952764812418e-13,1.01480380166518e-11,8.539227943974398e-11
sub-004,Fz,2.360010580674388e-12,6.182031052226913e-13,1.0651204479327558e-11,8.781463970003398e-11
sub-004,Cz,2.127485935055273e-12,5.660940990448804e-13,9.090518367607796e-12,8.433444704495159e-11
sub-004,Pz,2.079426993410866e-12,5.445455719225305e-13,9.3468074027163e-12,8.371384846273455e-11
sub-005,Fp1,3.4376562101228574e-12,1.5777567192071306e-12,1.3484876766638739e-11,1.6736005001393163e-10
sub-005,Fp2,3.4374286412746027e-12,1.3888831938264704e-12,1.2999407663501695e-11,1.3527910528185685e-10
sub-005,F3,3.905622694652946e-12,1.1203578320405357e-12,1.3795018788337722e-11,1.1768758252903238e-10
sub-005,F4,4.148942161150498e-12,1.1117660238589792e-12,1.488628499366323e-11,1.2945483710022818e-10
sub-005,C3,2.58615310191093e-12,5.799196276428638e-13,9.81203653127959e-12,8.912463599703417e-11
sub-005,C4,2.5438684466285884e-12,5.662766145968906e-13,9.814878782639461e-12,8.78228379758849e-11
sub-005,P3,3.074787794663569e-12,6.537064397296594e-13,1.0138944379179836e-11,9.927256599112694e-11
sub-005,P4,2.9497490031634923e-12,6.777895512051567e-13,9.972307269546665e-12,9.19872735236435e-11
sub-005,O1,3.7296250725438145e-12,8.84621293509117e-13,1.0897347224674899e-11,1.0042195689944314e-10
sub-005,O2,3.715626959707909e-12,9.40645144471382e-13,1.0499187672112823e-11,9.09398388740428e-11
sub-005,F7,3.4068088909088705e-12,1.2777672467255633e-12,1.2633730982798772e-11,1.2856966743079258e-10
sub-005,F8,3.548283180742767e-12,9.675749742574514e-13,1.2813324983691088e-11,1.0630550824981632e-10
sub-005,T3,3.283062007967893e-12,1.2033518335535703e-12,1.2085390643400388e-11,9.358001002576237e-11
sub-005,T4,3.1931059282210817e-12,8.55014326736185e-13,1.1428712786548156e-11,9.071766851009368e-11
sub-005,T5,3.8390901206547916e-12,8.497868702046229e-13,1.137255019159008e-11,9.313974040574457e-11
sub-005,T6,3.48867664479565e-12,8.71480070243636e-13,1.0532897719238811e-11,9.046701129679454e-11
sub-005,Fz,2.7172861097060196e-12,6.550513644036093e-13,1.0195033581448019e-11,9.225843138547195e-11
sub-005,Cz,2.460312937159967e-12,5.628197214398377e-13,9.611609442360457e-12,9.160209332580242e-11
sub-005,Pz,2.796534211012274e-12,6.248575802891212e-13,9.697133358593024e-12,9.149729385184384e-11
sub-006,Fp1,1.399161035746467e-11,1.3650101823848863e-12,9.749930448617572e-12,1.0039645060721772e-10
sub-006,Fp2,1.3904107765792243e-11,1.224771443745649e-12,9.368426793695564e-12,9.657360495328352e-11
sub-006,F3,9.634945781178838e-12,1.2048649805364639e-12,8.569134750825152e-12,8.542777582957053e-11
sub-006,F4,8.818941709053479e-12,1.1185048564083105e-12,8.528276475853594e-12,8.515478352021384e-11
sub-006,C3,3.1969703344220788e-12,7.414988446060799e-13,7.926746894204433e-12,8.257586783692418e-11
sub-006,C4,3.338928898267487e-12,7.643926208198726e-13,7.906887257587094e-12,8.275724357623988e-11
sub-006,P3,1.3285654791958752e-11,7.929933735351319e-13,8.137668594928587e-12,8.380552739198811e-11
sub-006,P4,1.420509882356842e-11,8.32894160379467e-13,8.291644129993922e-12,8.365691618633819e-11
sub-006,O1,1.8409079317904295e-11,9.235692989304955e-13,8.577533288067587e-12,8.549499342272577e-11
sub-006,O2,1.2569776289328645e-11,8.587994833682479e-13,8.569778362632126e-12,8.616718185738372e-11
sub-006,F7,1.3366228075927206e-11,1.348792050369264e-12,9.41253774804833e-12,8.976291795276849e-11
sub-006,F8,1.368371945384688e-11,1.0201871619319851e-12,8.885039162929691e-12,9.04807898228448e-11
sub-006,T3,8.071438933586623e-12,1.0904599993094926e-12,8.565195187177913e-12,8.619261389860288e-11
sub-006,T4,7.724482380504362e-12,8.89473862610439e-13,8.42230697405309e-12,8.58603880128265e-11
sub-006,T5,9.464662903874977e-12,9.538727725558683e-13,8.548324397061516e-12,8.523955593220234e-11
sub-006,T6,1.004217551945947e-11,9.735941763751824e-13,8.578102371550004e-12,8.487685869547313e-11
sub-006,Fz,9.265576442897287e-12,9.835461036916652e-13,8.435552361621757e-12,8.507260661385572e-11
sub-006,Cz,2.471638302165979e-12,6.692686400718043e-13,7.950818439822735e-12,8.305917501911146e-11
sub-006,Pz,1.2047517902416311e-11,6.316555329394628e-13,7.97300017192107e-12,8.3305529463987e-11
sub-007,Fp1,3.034611522712598e-12,7.908275689418712e-13,1.4904153202964846e-11,1.1341299592365938e-10
sub-007,Fp2,3.0793079761105697e-12,8.802828577640301e-13,1.4310187421746341e-11,1.1458588436452508e-10
sub-007,F3,2.701393374445448e-12,7.315181172557296e-13,1.1329576363437136e-11,8.754827719632198e-11
sub-007,F4,2.4469269816776847e-12,6.536868256027634e-13,1.0146610811086185e-11,8.559657961973941e-11
sub-007,C3,2.2452526656689126e-12,5.349182185726291e-13,8.932374942012278e-12,8.151843286228759e-11
sub-007,C4,2.1734015261011003e-12,5.409923411498634e-13,9.018250502673276e-12,8.207929426632054e-11
sub-007,P3,2.6514778087181083e-12,5.694619502138039e-13,1.089180852050154e-11,8.484642494719028e-11
sub-007,P4,2.438333498103218e-12,5.783994315700166e-13,9.745516248641582e-12,8.485586421595541e-11
sub-007,O1,2.7485732910847796e-12,5.893731997791414e-13,1.0944866694648993e-11,8.62963668734035e-11
sub-007,O2,2.6303297816903612e-12,6.208721837819591e-13,1.0404265940906138e-11,8.713182144324616e-11
sub-007,F7,3.0071901635262762e-12,7.270058758734081e-13,1.2204395847647568e-11,9.245352546550804e-11
sub-007,F8,2.9650691012729788e-12,7.051210666616351e-13,1.1667149824177885e-11,9.182199821273593e-11
sub-007,T3,2.9096068188899003e-12,6.815229977444877e-13,1.1782257899899657e-11,8.873167785742923e-11
sub-007,T4,2.779001882606572e-12,6.94731662333978e-13,1.0908486946511351e-11,8.713591251833976e-11
sub-007,T5,3.0163321101468476e-12,6.559929111939143e-13,1.2041372155699064e-11,8.810361915697771e-11
sub-007,T6,2.8512200390576607e-12,6.823567056321505e-13,1.080210479698667e-11,8.602220260054937e-11
sub-007,Fz,2.682940920424667e-12,6.117657469000555e-13,1.2599512538135088e-11,8.868090838888027e-11
sub-007,Cz,2.3327809217023187e-12,5.399828231034475e-13,9.121486494131259e-12,8.300064693145991e-11
sub-007,Pz,2.2087848911915405e-12,5.016983476516644e-13,9.006673569717615e-12,8.41912902957497e-11
sub-008,Fp1,5.5682446761951694e-11,8.159394113664158e-12,3.8305894993828115e-10,2.5433895897524686e-09
sub-008,Fp2,5.516147291485891e-11,8.000324982804809e-12,3.830141592105768e-10,2.4776969743025363e-09
sub-008,F3,5.544788213213778e-11,8.0603440373252e-12,3.816295158267159e-10,2.4495923532271053e-09
sub-008,F4,5.438016167228227e-11,7.58243345950218e-12,3.805361516897827e-10,2.447544438966217e-09
sub-008,C3,5.4430337411859e-11,7.535112826560219e-12,3.8003891289185554e-10,2.415381835032302e-09
sub-008,C4,5.4305014075934426e-11,7.539620729504941e-12,3.793219722330368e-10,2.425089817381673e-09
sub-008,P3,5.486050159911855e-11,7.47271861272125e-12,3.811952253177829e-10,2.4260231647567814e-09
sub-008,P4,4.0790549290103714e-10,9.774716994879687e-11,1.4465693402555598e-09,3.57746522546848e-09
sub-008,O1,5.6537800647091266e-11,7.798836569369698e-12,3.8597955606624297e-10,2.4624166398283064e-09
sub-008,O2,5.4531388582931256e-11,7.008394388316504e-12,3.8137667902944105e-10,2.4478826112953176e-09
sub-008,F7,7.015950873856163e-11,1.1890109337662306e-11,4.158440836862057e-10,2.570420542315398e-09
sub-008,F8,5.462122330556369e-11,7.648127571172676e-12,3.8043498986445337e-10,2.447968983981102e-09
sub-008,T3,5.40255451976279e-11,7.071536531064485e-12,3.8083618207341774e-10,2.454161517426855e-09
sub-008,T4,6.735116435632879e-11,9.044566168227606e-12,4.555153042943837e-10,2.7038174981329507e-09
sub-008,T5,5.455621366960531e-11,7.264975018384976e-12,3.818074463029226e-10,2.4434483589690327e-09
sub-008,T6,5.4687571534478127e-11,7.24928053113493e-12,3.8043683513206605e-10,2.488647131622331e-09
sub-008,Fz,5.5007157843100853e-11,7.768283365734648e-12,3.832626585049141e-10,2.455700696052869e-09
sub-008,Cz,5.5247808436600524e-11,7.698617357142372e-12,3.8200882175474024e-10,2.4342814198920865e-09
sub-008,Pz,5.566179354837226e-11,7.380381679701263e-12,3.8227567993404536e-10,2.478318490354938e-09
sub-009,Fp1,8.105978194219397e-12,1.2407268860361738e-12,1.2622239267448684e-11,1.098633011972918e-10
sub-009,Fp2,7.713682042459418e-12,1.3439178432121942e-12,1.2414504101442271e-11,1.1273364230076732e-10
sub-009,F3,6.650864423049766e-12,9.442836409396328e-13,1.1217065171439583e-11,8.577834085797782e-11
sub-009,F4,5.371395667650546e-12,1.076897015936807e-12,1.015695096402667e-11,8.607685598857662e-11
sub-009,C3,3.251682335675771e-12,6.470665753445951e-13,8.386524121574421e-12,8.464379323251125e-11
sub-009,C4,3.480301974153936e-12,6.69636037343351e-13,8.47598315108186e-12,8.511726178559363e-11
sub-009,P3,4.360232526800426e-12,6.941545324553003e-13,8.824484016290303e-12,8.619110823465582e-11
sub-009,P4,7.436181114084554e-12,7.60438259179921e-13,9.243445214223385e-12,8.641327804360699e-11
sub-009,O1,6.1902689701827055e-12,8.247472031604676e-13,9.35976378016177e-12,8.717566496355336e-11
sub-009,O2,8.367160950829591e-12,8.162018108073848e-13,9.250203449163982e-12,8.650857827164058e-11
sub-009,F7,8.127053295664369e-12,1.1006097812659181e-12,1.0498581143159723e-11,9.02725434166315e-11
sub-009,F8,7.0897178671930785e-12,1.2340523771547487e-12,1.036299710258819e-11,9.233607785192756e-11
sub-009,T3,6.839002284797432e-12,8.347434044151678e-13,1.0119296020136617e-11,8.781876516754201e-11
sub-009,T4,5.101322282924581e-12,1.8950932412878967e-12,9.428334776888832e-12,8.735424237129272e-11
sub-009,T5,6.2801380010471044e-12,8.974039956291197e-13,9.842440525470462e-12,8.776515785623233e-11
sub-009,T6,7.557914191063742e-12,9.355595395228686e-13,9.968716698703486e-12,8.754180047292672e-11
sub-009,Fz,7.468103315742947e-12,9.574315659865758e-13,1.2870971437512125e-11,8.589347569973055e-11
sub-009,Cz,4.542916786840932e-12,7.040740525091439e-13,9.677776159261683e-12,8.477762201201442e-11
sub-009,Pz,4.010223321098949e-12,5.997876892964835e-13,8.30275349476324e-12,8.567832324972546e-11
sub-010,Fp1,2.440718365849306e-12,6.979229770163942e-13,7.939571382698799e-12,8.259425970687207e-11
sub-010,Fp2,2.3652855152033585e-12,6.747309967856906e-13,7.81694680910056e-12,8.13839362288772e-11
sub-010,F3,2.183914453721099e-12,5.733454099934577e-13,7.391765997388072e-12,7.497477071037607e-11
sub-010,F4,2.1668945769833898e-12,5.853576700244129e-13,7.424357776384398e-12,7.463868432191035e-11
sub-010,C3,1.9811031478849875e-12,5.195835070105307e-13,7.2192408607193155e-12,7.330619859608124e-11
sub-010,C4,2.012490388342951e-12,5.273174058096686e-13,7.200578095026951e-12,7.376372727492305e-11
sub-010,P3,2.504649257041844e-12,5.823516301346482e-13,7.326060558496539e-12,7.420047702070398e-11
sub-010,P4,3.0910165309705e-12,6.523466915181573e-13,7.320742018501267e-12,7.454306813412895e-11
sub-010,O1,4.225397109898129e-12,7.278759171782918e-13,7.422505200045822e-12,7.473664080834495e-11
sub-010,O2,4.7029964530610546e-12,8.531291569708547e-13,7.51775918468495e-12,7.544438561162505e-11
sub-010,F7,2.6610316120480065e-12,7.45644581561342e-13,7.624193919574852e-12,7.500752435642339e-11
sub-010,F8,2.6464280624881195e-12,8.081858736850373e-13,7.555804359513741e-12,7.456230032022453e-11
sub-010,T3,3.0438310455640947e-12,7.533637508211546e-13,7.682845083504331e-12,7.530070050168969e-11
sub-010,T4,3.640359598213736e-12,1.0844810733730053e-12,7.670617544184769e-12,7.552513775152603e-11
sub-010,T5,4.050884256031471e-12,7.298075302753218e-13,7.49422011280481e-12,7.516996131710498e-11
sub-010,T6,5.828386584632563e-12,9.643738919929077e-13,7.568524586786267e-12,7.533941827624022e-11
sub-010,Fz,2.225279469310961e-12,5.388814174734098e-13,7.469211548866158e-12,7.521204952115299e-11
sub-010,Cz,2.069223146976569e-12,4.900959862647978e-13,7.420067935153144e-12,7.443093487227081e-11
sub-010,Pz,2.4280284569101917e-12,5.65563312546803e-13,7.356537221669307e-12,7.472261365201441e-11
sub-011,Fp1,5.173351950959891e-11,2.2072036419734743e-11,9.614034943250252e-11,5.513648142011888e-10
sub-011,Fp2,6.126938021224367e-11,2.3153907937798137e-11,1.1592478080823133e-10,6.305665035313699e-10
sub-011,F3,6.388567260666184e-11,2.3547180406166667e-11,1.1397479036530708e-10,3.970440261713505e-10
sub-011,F4,5.880735066156976e-11,2.1596814097331484e-11,1.0849957716848803e-10,4.0332383206107907e-10
sub-011,C3,6.149428573384708e-11,2.162215857637339e-11,1.1151310206859225e-10,3.894771112203643e-10
sub-011,C4,6.022124131516542e-11,2.165663243207986e-11,1.1192374188874005e-10,4.286334903508764e-10
sub-011,P3,6.835515053416677e-11,2.206989071977657e-11,1.1696745732179643e-10,4.0282643773444697e-10
sub-011,P4,9.797832965993103e-11,3.3371693990982315e-11,2.679338645005312e-10,8.321912769525207e-10
sub-011,O1,6.400029582133888e-11,2.0649188784101965e-11,1.0893692185088824e-10,3.8213964332587733e-10
sub-011,O2,8.507021911989108e-11,2.7509353510056793e-11,1.3890796203825006e-10,4.203676046694674e-10
sub-011,F7,6.510465315221224e-11,2.26675965064937e-11,1.1653441722988414e-10,4.033704120241325e-10
sub-011,F8,6.700556449505919e-11,2.350210120744838e-11,1.2136217545925538e-10,4.694794211168234e-10
sub-011,T3,7.670651422546623e-11,2.637681067735581e-11,1.3719165442995654e-10,4.50007279964841e-10
sub-011,T4,6.646118785426204e-11,2.2349932650420606e-11,1.2174038816730788e-10,4.043170913372346e-10
sub-011,T5,7.533308102884914e-11,2.5056650691059868e-11,1.2864796906697537e-10,4.1158393464686997e-10
sub-011,T6,8.015462672150173e-11,2.387146671686475e-11,1.4904437344883417e-10,5.116866809875333e-10
sub-011,Fz,6.335903234385448e-11,2.2020207413460518e-11,1.2032901925753149e-10,4.410002726756187e-10
sub-011,Cz,5.7685047175336745e-11,1.995486136868735e-11,1.065898168055544e-10,4.2885430244943684e-10
sub-011,Pz,6.665720580894013e-11,2.3209209599515265e-11,1.2453466081176815e-10,4.405204096958033e-10
sub-012,Fp1,6.103246369249245e-11,3.894911867154081e-11,1.4711125610214013e-10,9.057570855947652e-10
sub-012,Fp2,6.53796512063114e-11,3.929076566901763e-11,1.4543544028362438e-10,1.0069018383302065e-09
sub-012,F3,5.974768888104286e-11,3.834100566199274e-11,1.3469498501504027e-10,8.416792609725771e-10
sub-012,F4,6.201043335263197e-11,3.884122669977916e-11,1.343838451648221e-10,8.647267112590348e-10
sub-012,C3,5.284076626671137e-11,3.432331846679817e-11,1.1078292180748631e-10,8.464247641923493e-10
sub-012,C4,5.555876418310577e-11,3.3258657114108096e-11,1.3174240070644667e-10,8.091187884227738e-10
sub-012,P3,1.0498469377503279e-10,4.793244906757418e-11,5.140938228979009e-10,2.3129014977987965e-09
sub-012,P4,5.814919696849909e-11,3.3117447480202564e-11,1.4493686225084327e-10,1.0173641106840808e-09
sub-012,O1,8.917317243233756e-10,9.884441474596383e-11,1.5304622905402128e-09,8.674526176842744e-09
sub-012,O2,1.3749683029082991e-10,5.035369919127709e-11,4.3045829294183953e-10,2.1718506107463524e-09
sub-012,F7,6.18413540812879e-11,3.525901839418485e-11,1.368204536390983e-10,8.481151092423783e-10
sub-012,F8,6.244226644734832e-11,3.716524583253083e-11,1.3835878219338393e-10,8.41310377762865e-10
sub-012,T3,6.32482146984809e-11,3.76176687744218e-11,1.428182450428963e-10,8.404676523612707e-10
sub-012,T4,6.088431797948663e-11,3.5121953522829394e-11,1.3603331574272333e-10,8.433058366394543e-10
sub-012,T5,4.712967703522523e-10,9.381054439611754e-11,1.8101544033171e-09,2.0917283918168437e-08
sub-012,T6,6.374489741187623e-11,3.671420783935852e-11,1.412681586144916e-10,8.367751582652618e-10
sub-012,Fz,6.061137590243572e-11,3.567067887125047e-11,1.5905824389930804e-10,9.394623467876703e-10
sub-012,Cz,6.252717010371413e-11,3.0852177668554085e-11,1.4943504939538404e-10,1.3522321325733196e-09
sub-012,Pz,6.032529173321224e-11,3.445492753743634e-11,1.3350414581907519e-10,1.0390717294742623e-09
sub-013,Fp1,4.580826153351429e-12,1.1893647357394632e-12,2.0681628999795344e-11,2.4216854781837266e-10
sub-013,Fp2,4.605611426224835e-12,1.0298509291542477e-12,1.8756144514591756e-11,2.0754241966819096e-10
sub-013,F3,3.5120860187046106e-12,7.279930303862683e-13,1.5864262579558062e-11,1.3279662048733404e-10
sub-013,F4,4.335147864440572e-12,8.787770418912775e-13,1.873634198255642e-11,2.2183941216514628e-10
sub-013,C3,3.491425787037372e-12,6.287409409941002e-13,1.4748875611178064e-11,1.288016547444603e-10
sub-013,C4,3.664115205660187e-12,6.455501768044315e-13,1.5043923067344625e-11,1.2700742905755672e-10
sub-013,P3,3.9546193195631446e-12,7.09016532996959e-13,1.6570655318301388e-11,1.6705008185146712e-10
sub-013,P4,5.875513693268916e-12,8.966674586884922e-13,1.8274749080330162e-11,1.449751739781374e-10
sub-013,O1,6.372643297436484e-12,1.0435805397813948e-12,2.421512696364859e-11,2.7231159963328194e-10
sub-013,O2,7.375648823564776e-12,9.124593140410534e-13,1.8413271139455076e-11,1.4203529691909437e-10
sub-013,F7,3.961241581695712e-12,1.0074507597090178e-12,1.803981039720016e-11,1.488443767952355e-10
sub-013,F8,4.241005532553537e-12,9.921932195841067e-13,1.6709820177413736e-11,1.653536083364782e-10
sub-013,T3,4.0597214971984774e-12,1.0098345622591002e-12,1.695493836430951e-11,1.3573414425806463e-10
sub-013,T4,4.158266231202381e-12,8.81764668696741e-13,1.611389685845004e-11,1.2763691930502585e-10
sub-013,T5,2.378082984281924e-11,2.3135223664504585e-12,9.823385326892792e-11,3.329749008170033e-10
sub-013,T6,6.415801850854434e-12,1.2348336062479193e-12,3.187812801300032e-11,3.214380733298554e-10
sub-013,Fz,3.5154730055164617e-12,6.483557811508865e-13,1.6241669562587798e-11,1.2966327365290787e-10
sub-013,Cz,3.5731968495688127e-12,6.315080391328971e-13,1.490806794297283e-11,1.2995798959163872e-10
sub-013,Pz,4.377402617846041e-12,7.46950106728599e-13,1.74657836140874e-11,2.0435743519873762e-10
sub-014,Fp1,1.3245712258667237e-11,5.165594158322639e-12,4.0341159799377925e-11,4.856607943919755e-10
sub-014,Fp2,1.8367398964540493e-10,4.5652177934237076e-11,6.05953661064786e-10,2.639457919282113e-09
sub-014,F3,1.3521380701804446e-11,5.629915508605183e-12,3.509429968294831e-11,2.415355833583457e-10
sub-014,F4,1.1795649745835443e-11,4.631126869185671e-12,3.3517240990454124e-11,2.512646713881323e-10
sub-014,C3,1.2733877820453946e-11,5.000036086266102e-12,3.3760937961217056e-11,2.2810549474998677e-10
sub-014,C4,1.1682376390238843e-11,4.297447733847043e-12,3.2961588242456325e-11,2.2645176746165782e-10
sub-014,P3,1.4075578329863377e-11,5.698315193851626e-12,3.546059191179853e-11,2.306284463429871e-10
sub-014,P4,1.2038551961800194e-11,4.271246289883906e-12,3.3599006820180274e-11,2.2851345366240416e-10
sub-014,O1,1.269586091259693e-11,4.49314618619995e-12,3.504978756337896e-11,2.3542781220328045e-10
sub-014,O2,1.2624106281325037e-11,4.4899556089544756e-12,3.4626241733709994e-11,2.338208006292418e-10
sub-014,F7,1.3303981215920811e-11,5.127936187456089e-12,3.6203875985805384e-11,2.4764411562697293e-10
sub-014,F8,1.267148951555421e-11,4.299319571339699e-12,3.726956181589488e-11,3.1059269136644364e-10
