Subject,Group,Channel,Delta Power,Theta Power,Alpha Power,Beta Power
sub-002,Alzheimer's Disease,T3,2.4368117370054764e-10,4.2844696348536e-11,2.8573776151115222e-11,1.3128282830683129e-11
sub-002,Alzheimer's Disease,T4,2.4451699141657987e-10,3.804344072815307e-11,1.9567502239251315e-11,1.1950831701353003e-11
sub-002,Alzheimer's Disease,T5,2.462800095105607e-10,4.814977763035132e-11,4.868342718416962e-11,1.3166336691157097e-11
sub-002,Alzheimer's Disease,T6,2.457502650995044e-10,4.5643150403068226e-11,4.806047333959882e-11,1.2254264743137623e-11
sub-002,Alzheimer's Disease,Fz,2.3890869589268187e-10,3.540733385235799e-11,2.290683150198865e-11,1.1524969889710863e-11
sub-002,Alzheimer's Disease,Cz,2.4041710927983963e-10,3.3261936307222114e-11,1.5086511384218168e-11,9.797335719026341e-12
sub-002,Alzheimer's Disease,Pz,2.4279237313538154e-10,3.9405695622480436e-11,3.1500583639938343e-11,1.0788761276046041e-11
sub-003,Alzheimer's Disease,Fp1,2.2588200444157142e-10,5.224820470471687e-11,3.544820921707315e-11,1.0002044997600406e-11
sub-003,Alzheimer's Disease,Fp2,2.2312213960996156e-10,5.289877182541272e-11,3.308771241486754e-11,9.738139935166512e-12
sub-003,Alzheimer's Disease,F3,2.1928580001553777e-10,4.465237655953173e-11,2.60888792189749e-11,9.75208791420046e-12
sub-003,Alzheimer's Disease,F4,2.1446774095432597e-10,4.4972939891370666e-11,2.1132678028721227e-11,9.218877322237476e-12
sub-003,Alzheimer's Disease,C3,2.0626936547877608e-10,3.6467444509585666e-11,1.8582381999582837e-11,8.540461670797166e-12
sub-003,Alzheimer's Disease,C4,2.0549979495371038e-10,3.705035431983248e-11,1.9627204370086134e-11,8.485273532228212e-12
sub-003,Alzheimer's Disease,P3,2.1606568815920347e-10,4.865616550508754e-11,3.235739452798871e-11,1.001835345389429e-11
sub-003,Alzheimer's Disease,P4,2.0863494632612333e-10,4.761357535860346e-11,5.3920004687044244e-11,1.0189437385930457e-11
sub-003,Alzheimer's Disease,O1,2.2570185598789343e-10,6.246116418352046e-11,5.152156213974242e-11,1.0793879207050399e-11
sub-003,Alzheimer's Disease,O2,2.2484534493775287e-10,6.101160813226144e-11,6.411345110510452e-11,1.151950403672865e-11
sub-003,Alzheimer's Disease,F7,2.225028946217574e-10,5.113977911548646e-11,3.520357032671608e-11,1.0159387097128663e-11
sub-003,Alzheimer's Disease,F8,2.2139263383563798e-10,5.2214113268139626e-11,3.1470628303515356e-11,1.0082316651026693e-11
sub-003,Alzheimer's Disease,T3,2.160508249356244e-10,4.639750577484814e-11,2.9792602248536294e-11,9.367501964340361e-12
sub-003,Alzheimer's Disease,T4,2.1125931065776578e-10,4.639587927932967e-11,2.6958665139910626e-11,9.33969619302193e-12
sub-003,Alzheimer's Disease,T5,2.318292966841986e-10,6.849494658860183e-11,5.900727260051723e-11,1.0803886173827657e-11
sub-003,Alzheimer's Disease,T6,2.240538379263695e-10,6.989436746244527e-11,1.028387302013544e-10,1.1349512749147803e-11
sub-003,Alzheimer's Disease,Fz,2.1712173537436576e-10,5.0236176274194064e-11,2.8580292671016022e-11,9.05364831153956e-12
sub-003,Alzheimer's Disease,Cz,2.1225068393570976e-10,3.996999531658077e-11,1.706169454928553e-11,8.73569741245022e-12
sub-003,Alzheimer's Disease,Pz,2.0832158044568356e-10,4.6422903688354414e-11,3.4953906480830964e-11,9.410729385613887e-12
sub-004,Alzheimer's Disease,Fp1,2.210424755509062e-10,3.47171040378765e-11,1.0434712901772887e-11,1.275947121092264e-11
sub-004,Alzheimer's Disease,Fp2,2.3401788657972355e-10,4.0331661685192825e-11,1.1429223040055963e-11,1.2204087772234245e-11
sub-004,Alzheimer's Disease,F3,2.227890086776351e-10,3.96570964926575e-11,1.1880496156667821e-11,2.369256172494641e-11
sub-004,Alzheimer's Disease,F4,2.311333315701898e-10,4.056379117364131e-11,1.143310066153172e-11,1.2373521994139292e-11
sub-004,Alzheimer's Disease,C3,2.228220214458397e-10,3.796898612681544e-11,1.0110845274792961e-11,8.815185268810225e-12
sub-004,Alzheimer's Disease,C4,2.2699941456759138e-10,3.762548809021819e-11,1.0037254646992646e-11,8.508643688423921e-12
sub-004,Alzheimer's Disease,P3,2.361325269486854e-10,3.8129844063629733e-11,1.0505958189084025e-11,8.539723694472937e-12
sub-004,Alzheimer's Disease,P4,2.362483981759161e-10,3.798813057642755e-11,1.0285563235083132e-11,9.147641891907026e-12
sub-004,Alzheimer's Disease,O1,2.5178232226674426e-10,3.948528650778023e-11,1.1204770154311243e-11,9.711138617864635e-12
sub-004,Alzheimer's Disease,O2,2.4555745887869845e-10,3.8983327233306413e-11,1.0781632023019965e-11,9.683319579133774e-12
sub-004,Alzheimer's Disease,F7,2.456721004830716e-10,5.0147754544218997e-11,1.380260146334731e-11,2.0608367855123747e-11
sub-004,Alzheimer's Disease,F8,2.414716471643759e-10,4.928128631937337e-11,1.3725384319779244e-11,1.3664878761776863e-11
sub-004,Alzheimer's Disease,T3,2.3504153102614763e-10,4.989078197647028e-11,1.2307215712084442e-11,1.2164162638142145e-11
sub-004,Alzheimer's Disease,T4,2.3132849000477375e-10,4.36757774037194e-11,1.1930884546963138e-11,1.727497396838102e-11
sub-004,Alzheimer's Disease,T5,2.3269152715409342e-10,4.034886464456446e-11,1.0726321871094197e-11,9.38949595775046e-12
sub-004,Alzheimer's Disease,T6,2.3547076664308263e-10,3.847322627975503e-11,1.0705717270362827e-11,9.750021818173287e-12
sub-004,Alzheimer's Disease,Fz,2.2707769517789163e-10,3.8374326655762096e-11,1.0419332599592856e-11,9.31057485619439e-12
sub-004,Alzheimer's Disease,Cz,2.3114154269231382e-10,3.6223563407190914e-11,1.0102008203660087e-11,8.863002445187866e-12
sub-004,Alzheimer's Disease,Pz,2.3670280285242546e-10,3.693731360938777e-11,1.015635829431864e-11,8.21813664147152e-12
sub-005,Alzheimer's Disease,Fp1,2.414797994708636e-10,3.541992067262099e-11,1.2942459599166002e-11,1.4587787693316265e-11
sub-005,Alzheimer's Disease,Fp2,2.280350803322679e-10,3.106314240146903e-11,1.046506743109181e-11,8.266357510538415e-12
sub-005,Alzheimer's Disease,F3,2.3669906290748885e-10,3.3182398817992197e-11,1.1420343631020188e-11,1.0313206442350296e-11
sub-005,Alzheimer's Disease,F4,2.4046322384299736e-10,3.2587015482964254e-11,1.0867105924561051e-11,9.756301800560486e-12
sub-005,Alzheimer's Disease,C3,2.3635514665943673e-10,3.1904794243563024e-11,1.0688838084851352e-11,8.331747621896604e-12
sub-005,Alzheimer's Disease,C4,2.3580038882974885e-10,3.309989992098583e-11,1.0988011157632505e-11,8.662748949618795e-12
sub-005,Alzheimer's Disease,P3,2.5058768049695286e-10,3.3976718892566165e-11,1.3494112108305228e-11,9.870691653453368e-12
sub-005,Alzheimer's Disease,P4,2.3950957388276975e-10,3.358733497649777e-11,1.2906600144904542e-11,1.0128086725171947e-11
sub-005,Alzheimer's Disease,O1,2.545311533638863e-10,3.623654611729867e-11,1.6133783920603273e-11,1.2589860316446265e-11
sub-005,Alzheimer's Disease,O2,2.407788675823104e-10,3.6187345601358204e-11,1.689124608539059e-11,1.4224052867847744e-11
sub-005,Alzheimer's Disease,F7,2.464908014962008e-10,3.926089645969894e-11,1.4388665991702051e-11,1.1852459417500204e-11
sub-005,Alzheimer's Disease,F8,2.398297328012244e-10,3.395224137997017e-11,1.1543890045930836e-11,9.550772735585861e-12
sub-005,Alzheimer's Disease,T3,2.4430886455449284e-10,3.9522886629916016e-11,1.4121882402939355e-11,1.432304210893515e-11
sub-005,Alzheimer's Disease,T4,2.4052796514556903e-10,3.717764143887885e-11,1.3551397311818517e-11,1.0540159776506882e-11
sub-005,Alzheimer's Disease,T5,2.455422686087939e-10,3.797240814070292e-11,1.7133945775906028e-11,1.2470687149361626e-11
sub-005,Alzheimer's Disease,T6,2.4221772166791e-10,3.7087001820580046e-11,1.6099635722966894e-11,1.3293947882564992e-11
sub-005,Alzheimer's Disease,Fz,2.3679127388479593e-10,3.2867613049190263e-11,1.0709665788512993e-11,9.11396743032713e-12
sub-005,Alzheimer's Disease,Cz,2.39775663491704e-10,3.189253255112102e-11,1.0413515758445486e-11,8.571002016067333e-12
sub-005,Alzheimer's Disease,Pz,2.405924950322787e-10,3.2504090397187366e-11,1.2115136204394938e-11,9.291590931150011e-12
sub-006,Alzheimer's Disease,Fp1,2.417053821165594e-10,3.231698034502428e-11,6.750186045141165e-11,1.4750805727412433e-11
sub-006,Alzheimer's Disease,Fp2,2.4001462933870873e-10,3.1290697140542656e-11,6.315514600092198e-11,1.5114182253950352e-11
sub-006,Alzheimer's Disease,F3,2.4536272427337597e-10,3.294723063258208e-11,4.740053790727136e-11,1.9444377701853692e-11
sub-006,Alzheimer's Disease,F4,2.4968144759640495e-10,3.1964525330935977e-11,4.183619490514622e-11,1.780835511493897e-11
sub-006,Alzheimer's Disease,C3,2.440750643529876e-10,3.051792830278014e-11,1.6428024731524443e-11,1.285037688257384e-11
sub-006,Alzheimer's Disease,C4,2.443012807517206e-10,2.978114449766034e-11,1.6966316972563893e-11,1.3123447532460766e-11
sub-006,Alzheimer's Disease,P3,2.461459501189482e-10,3.170503833561804e-11,6.833668931652874e-11,1.3774033457128001e-11
sub-006,Alzheimer's Disease,P4,2.492677177833827e-10,3.1511683548683995e-11,7.096807311912795e-11,1.4357164715169834e-11
sub-006,Alzheimer's Disease,O1,2.5103993625523584e-10,3.332098975114803e-11,9.249844324736193e-11,1.549668655733252e-11
sub-006,Alzheimer's Disease,O2,2.497779097469106e-10,3.272171702134867e-11,6.263728703170854e-11,1.4581952911162346e-11
sub-006,Alzheimer's Disease,F7,2.4717040821335305e-10,3.542247467915482e-11,6.50138633202547e-11,2.2173197765116434e-11
sub-006,Alzheimer's Disease,F8,2.546425856454937e-10,3.356872051548374e-11,6.490076402220376e-11,1.726936276342143e-11
sub-006,Alzheimer's Disease,T3,2.4461393243073493e-10,3.2986484520736485e-11,4.0077071154622346e-11,1.8053110777864615e-11
sub-006,Alzheimer's Disease,T4,2.5245260898245684e-10,3.177126426345024e-11,3.650867509223877e-11,1.5284997899296668e-11
sub-006,Alzheimer's Disease,T5,2.437808393630406e-10,3.299220450502488e-11,4.9069385960519354e-11,1.6047448574902086e-11
sub-006,Alzheimer's Disease,T6,2.4820636474407306e-10,3.2619834017467696e-11,4.954368238867721e-11,1.664283891097255e-11
sub-006,Alzheimer's Disease,Fz,2.505234037064786e-10,3.2995804074314743e-11,4.553881943148575e-11,1.6575831417230996e-11
sub-006,Alzheimer's Disease,Cz,2.468152752721229e-10,3.051098907049387e-11,1.210969993066458e-11,1.1727969967344118e-11
sub-006,Alzheimer's Disease,Pz,2.485114238520603e-10,3.073649077003388e-11,6.161669734625125e-11,1.0795653193467792e-11
sub-007,Alzheimer's Disease,Fp1,2.8241942725980415e-10,4.6440484398669414e-11,1.4505047544611486e-11,1.2254430758146188e-11
sub-007,Alzheimer's Disease,Fp2,2.795483392079683e-10,4.613704558772621e-11,1.4154530356531939e-11,1.3880822781979019e-11
sub-007,Alzheimer's Disease,F3,2.701903615516559e-10,4.368264292605709e-11,1.3383034573928146e-11,1.2307669002292816e-11
sub-007,Alzheimer's Disease,F4,2.6132831206563794e-10,3.698045536205218e-11,1.1615790614773611e-11,1.0599325590344419e-11
sub-007,Alzheimer's Disease,C3,2.549284824544439e-10,3.5620276150944526e-11,1.1544679457561973e-11,8.981659989308037e-12
sub-007,Alzheimer's Disease,C4,2.5369569249882784e-10,3.388721370788987e-11,1.1110896836510909e-11,9.53318524836323e-12
sub-007,Alzheimer's Disease,P3,2.6405238942130086e-10,4.406618327895424e-11,1.3723986453864188e-11,9.562758534026947e-12
sub-007,Alzheimer's Disease,P4,2.5985398391171534e-10,3.749039388068598e-11,1.242273693451898e-11,1.0109324142428926e-11
sub-007,Alzheimer's Disease,O1,2.656774818654039e-10,4.407267618932403e-11,1.401890033730147e-11,9.965931642672994e-12
sub-007,Alzheimer's Disease,O2,2.6536286265065444e-10,4.07888878054275e-11,1.348288679923609e-11,1.0676551776033647e-11
sub-007,Alzheimer's Disease,F7,2.8371762288237477e-10,4.694278076524361e-11,1.5342402448317778e-11,1.1887598633334922e-11
sub-007,Alzheimer's Disease,F8,2.681341674641659e-10,4.065843530673717e-11,1.2632694946955002e-11,1.018098427813188e-11
sub-007,Alzheimer's Disease,T3,2.717489983943354e-10,4.692554354059596e-11,1.4990662859931468e-11,1.0818548851344187e-11
sub-007,Alzheimer's Disease,T4,2.625211454463589e-10,3.9248658938491756e-11,1.337643592328074e-11,1.1197286426744793e-11
sub-007,Alzheimer's Disease,T5,2.688121739279063e-10,4.849032810973264e-11,1.5475644854627335e-11,1.106807254684926e-11
sub-007,Alzheimer's Disease,T6,2.6064049619868177e-10,4.1381016198501926e-11,1.4519439375953672e-11,1.2025489186807694e-11
sub-007,Alzheimer's Disease,Fz,2.6792420930164416e-10,4.6813160685114016e-11,1.321155153278286e-11,1.074994308492062e-11
sub-007,Alzheimer's Disease,Cz,2.557997040336243e-10,3.51070068367168e-11,1.162608181483673e-11,9.23209748299659e-12
sub-007,Alzheimer's Disease,Pz,2.5807191685484997e-10,3.5206440041168056e-11,1.1232626575561261e-11,8.554115783753724e-12
sub-008,Alzheimer's Disease,Fp1,2.5511825699668385e-10,3.002142638563093e-11,1.0073155647037509e-11,1.3392507193470318e-11
sub-008,Alzheimer's Disease,Fp2,2.695844831228156e-10,3.221998334277697e-11,1.0467105396111744e-11,1.3459254295134799e-11
sub-008,Alzheimer's Disease,F3,2.474294825653011e-10,3.106654670524169e-11,1.1806371296435872e-11,1.2412855540114044e-11
sub-008,Alzheimer's Disease,F4,2.7454050596769445e-10,3.515015217902756e-11,1.2415172517135425e-11,1.3612930931184828e-11
sub-008,Alzheimer's Disease,C3,2.2194535694651052e-10,2.6493854036964096e-11,9.006334155722836e-12,7.902317427719733e-12
sub-008,Alzheimer's Disease,C4,2.2163306617165842e-10,2.7558962148660168e-11,9.054823184974054e-12,7.883111289756303e-12
sub-008,Alzheimer's Disease,P3,2.364224753660561e-10,3.02584400642726e-11,1.2141092437812959e-11,9.648607156963231e-12
sub-008,Alzheimer's Disease,P4,2.4118261060194185e-10,2.902138575284092e-11,1.220056749893884e-11,9.048389177443324e-12
sub-008,Alzheimer's Disease,O1,2.6452832724239244e-10,3.5221969495766844e-11,1.593972796313178e-11,1.0574876474456848e-11
sub-008,Alzheimer's Disease,O2,2.7561835347056294e-10,3.488530493819228e-11,1.6266956253173884e-11,1.0434947536337727e-11
sub-008,Alzheimer's Disease,F7,2.906235804358722e-10,3.382562952983773e-11,1.2102371238668152e-11,1.1544194250801938e-11
sub-008,Alzheimer's Disease,F8,2.7974697503889694e-10,3.594148135363561e-11,1.236732076347976e-11,1.2269863946513236e-11
sub-008,Alzheimer's Disease,T3,2.587532132767849e-10,3.2600534741634143e-11,1.1502040605912211e-11,1.0290434515028857e-11
sub-008,Alzheimer's Disease,T4,2.610923748874904e-10,3.2937518115607745e-11,1.1484924812466461e-11,1.0733466139021957e-11
sub-008,Alzheimer's Disease,T5,2.5878864735184204e-10,3.4557904578232885e-11,1.3767262238765515e-11,1.0598734349851856e-11
sub-008,Alzheimer's Disease,T6,2.7345914840403824e-10,3.446674302448731e-11,1.360996292670264e-11,1.0369502228472181e-11
sub-008,Alzheimer's Disease,Fz,2.7705663270101287e-10,3.7479945663338496e-11,1.1225439413985104e-11,1.0893219854030095e-11
sub-008,Alzheimer's Disease,Cz,2.2275390046281676e-10,2.982092482131856e-11,1.1523227397881726e-11,1.0143059153637192e-11
sub-008,Alzheimer's Disease,Pz,2.4169562372135424e-10,2.993494826128912e-11,1.4112756711867963e-11,9.094688763700361e-12
sub-009,Alzheimer's Disease,Fp1,2.0792238970428375e-10,3.173483194622703e-11,3.06562913736898e-11,1.474964785206875e-11
sub-009,Alzheimer's Disease,Fp2,2.57997322632112e-10,4.397104402069778e-11,3.5295342656043054e-11,2.186757899238496e-11
sub-009,Alzheimer's Disease,F3,2.116280611719311e-10,3.722812957374048e-11,2.9028878595102985e-11,1.5850773413381594e-11
sub-009,Alzheimer's Disease,F4,2.313142287740788e-10,4.012069622738293e-11,2.550295395086227e-11,1.9395736673404883e-11
sub-009,Alzheimer's Disease,C3,2.142084772994992e-10,3.0712710942198865e-11,1.6305625942157866e-11,1.2149427979118573e-11
sub-009,Alzheimer's Disease,C4,2.222480486980161e-10,3.383404337512176e-11,1.8517285556300237e-11,1.3245668502124069e-11
sub-009,Alzheimer's Disease,P3,2.157590897611601e-10,3.341076023450471e-11,2.454409882694089e-11,1.31732120309318e-11
sub-009,Alzheimer's Disease,P4,2.2419634186607194e-10,3.638417983924975e-11,4.032208856176595e-11,1.3956726645602525e-11
sub-009,Alzheimer's Disease,O1,2.2069874424909887e-10,3.586095235791004e-11,3.4623163874528013e-11,1.546859016206124e-11
sub-009,Alzheimer's Disease,O2,2.2009059216464779e-10,3.56015036512889e-11,4.496317424370119e-11,1.4846398232954172e-11
sub-009,Alzheimer's Disease,F7,1.9511877215883539e-10,3.0281544097815875e-11,3.052616879204699e-11,1.4059488049441464e-11
sub-009,Alzheimer's Disease,F8,2.5594367573505625e-10,4.0821934029546245e-11,3.444238457267624e-11,2.1553385543223436e-11
sub-009,Alzheimer's Disease,T3,2.1641080783235544e-10,3.626275720311607e-11,3.1767093452446533e-11,1.4019062404165257e-11
sub-009,Alzheimer's Disease,T4,2.3209667283983115e-10,3.822528408256646e-11,2.5280381432526486e-11,3.216403933404554e-11
sub-009,Alzheimer's Disease,T5,2.2142907175413924e-10,3.768276050972787e-11,3.429105447272063e-11,1.6711808011897484e-11
sub-009,Alzheimer's Disease,T6,2.26129238192229e-10,3.9863116870669046e-11,3.951627910219671e-11,1.6705173597755015e-11
sub-009,Alzheimer's Disease,Fz,2.212073655954454e-10,4.787804968906712e-11,3.381166396395623e-11,1.6828805380912155e-11
sub-009,Alzheimer's Disease,Cz,2.2037459942300503e-10,3.695501442122591e-11,2.1016359460686375e-11,1.3227862512813997e-11
sub-009,Alzheimer's Disease,Pz,2.191465117219947e-10,3.138089199003333e-11,2.1686572332415577e-11,1.1449362603407794e-11
sub-010,Alzheimer's Disease,Fp1,2.1864052093995265e-10,2.7510353355710473e-11,9.445312767812325e-12,9.090295056509218e-12
sub-010,Alzheimer's Disease,Fp2,2.2797666530543035e-10,2.8777748528287017e-11,1.0090613957925796e-11,9.35363777886664e-12
sub-010,Alzheimer's Disease,F3,2.229300372881721e-10,2.7845708495048733e-11,9.026523535288837e-12,8.78510253395218e-12
sub-010,Alzheimer's Disease,F4,2.3084942457023607e-10,2.933054652600194e-11,1.0348590129083134e-11,9.585512058892736e-12
sub-010,Alzheimer's Disease,C3,2.2437205447387436e-10,2.806199397359625e-11,9.306455340605095e-12,8.726500813649347e-12
sub-010,Alzheimer's Disease,C4,2.2825250756605522e-10,2.877560860427421e-11,9.990447566166805e-12,9.161584231742648e-12
sub-010,Alzheimer's Disease,P3,2.2804602347486597e-10,2.8824253044756245e-11,1.2494479349983966e-11,1.0266285140490685e-11
sub-010,Alzheimer's Disease,P4,2.2952972568128063e-10,2.937544561415333e-11,1.5113403898525742e-11,1.1280285156811765e-11
sub-010,Alzheimer's Disease,O1,2.292416500580517e-10,2.9477644938692774e-11,2.088395277335446e-11,1.270969915650414e-11
sub-010,Alzheimer's Disease,O2,2.309574683639114e-10,2.9975531710231725e-11,2.2917144270767462e-11,1.459251692559843e-11
sub-010,Alzheimer's Disease,F7,2.2395902625502367e-10,2.8774103626518233e-11,1.1072069023435005e-11,1.0953717816881366e-11
sub-010,Alzheimer's Disease,F8,2.32825056817951e-10,3.02935992673936e-11,1.2712947943311047e-11,1.3584397797018307e-11
sub-010,Alzheimer's Disease,T3,2.288381650390967e-10,2.997018537954633e-11,1.4409286641019231e-11,1.2513778787088904e-11
sub-010,Alzheimer's Disease,T4,2.3402986593456865e-10,3.0891058988667115e-11,1.76132888819671e-11,1.853762738750457e-11
sub-010,Alzheimer's Disease,T5,2.2957755188293231e-10,2.959678017648313e-11,2.0315564187735308e-11,1.2718032669347647e-11
sub-010,Alzheimer's Disease,T6,2.3256539970210875e-10,3.033594244360311e-11,2.813326503406373e-11,1.6579234255918007e-11
sub-010,Alzheimer's Disease,Fz,2.277714922409585e-10,2.9246850205952385e-11,1.0247315874882595e-11,9.145549248476404e-12
sub-010,Alzheimer's Disease,Cz,2.293554003919708e-10,2.939678899857045e-11,9.925215216372784e-12,8.485935858051284e-12
sub-010,Alzheimer's Disease,Pz,2.2971742748093163e-10,2.925457302963246e-11,1.2144118527156694e-11,9.969101237878395e-12
sub-011,Alzheimer's Disease,Fp1,2.372431471367632e-10,4.1253066880474075e-11,2.0336539007918952e-11,1.744912470615296e-11
sub-011,Alzheimer's Disease,Fp2,2.3919841228735386e-10,3.8900175707886505e-11,2.171043707685101e-11,1.7782898279799427e-11
sub-011,Alzheimer's Disease,F3,2.3240533101949815e-10,3.331575538973806e-11,1.1825037585305543e-11,9.475936052737558e-12
sub-011,Alzheimer's Disease,F4,2.34622497889168e-10,3.266484586077673e-11,1.3121834132280065e-11,1.3684058282910195e-11
sub-011,Alzheimer's Disease,C3,2.310686401760058e-10,3.3149468440909716e-11,1.2470370671427266e-11,8.342184103301293e-12
sub-011,Alzheimer's Disease,C4,2.3429131857518203e-10,3.4019262486460456e-11,1.3660211435058396e-11,8.266218328754577e-12
sub-011,Alzheimer's Disease,P3,2.3024246712349567e-10,4.0861524491908325e-11,2.769240654900976e-11,1.0693140267849646e-11
sub-011,Alzheimer's Disease,P4,2.356268158280535e-10,4.1145752101061636e-11,2.8070737297572146e-11,1.0257225503485545e-11
sub-011,Alzheimer's Disease,O1,2.3470774217011224e-10,5.5702586703534364e-11,4.5100427534494836e-11,1.5464103316431563e-11
sub-011,Alzheimer's Disease,O2,2.391117176089417e-10,6.144575573490574e-11,5.50944660333322e-11,1.627810486592272e-11
sub-011,Alzheimer's Disease,F7,2.3707832012063936e-10,4.163196429387867e-11,1.9845223576848485e-11,1.1211904901799693e-11
sub-011,Alzheimer's Disease,F8,2.4164640658846026e-10,4.257190748052019e-11,2.021597058726597e-11,1.4498226784987511e-11
sub-011,Alzheimer's Disease,T3,2.400593463703341e-10,5.7122225537618715e-11,2.7906705660259786e-11,1.5119868362967118e-11
sub-011,Alzheimer's Disease,T4,2.5102477469848057e-10,6.583477089101032e-11,3.2322509881800666e-11,1.8653042181872867e-11
sub-011,Alzheimer's Disease,T5,2.370284258173588e-10,7.234198088320329e-11,3.944777263664673e-11,1.6475976516120097e-11
sub-011,Alzheimer's Disease,T6,2.401878290558562e-10,7.269353623814319e-11,4.213454387351628e-11,1.613809809055812e-11
sub-011,Alzheimer's Disease,Fz,2.303186955817031e-10,2.980300254784904e-11,9.623612970823081e-12,7.381548246935843e-12
sub-011,Alzheimer's Disease,Cz,2.3125921582710824e-10,2.98811332438339e-11,9.790199873319469e-12,7.053281503352482e-12
sub-011,Alzheimer's Disease,Pz,2.3214723068036276e-10,3.55703276199514e-11,2.2628314734606797e-11,9.21446337960515e-12
sub-012,Alzheimer's Disease,Fp1,2.4402902649814076e-10,3.6059524661070014e-11,1.2977997338587156e-11,1.1612534428224084e-11
sub-012,Alzheimer's Disease,Fp2,2.514689314297806e-10,3.711194855497903e-11,1.4611210490746162e-11,1.3261029041914732e-11
sub-012,Alzheimer's Disease,F3,2.4337048039903154e-10,3.58183845566116e-11,1.2124034519142097e-11,1.199294914761878e-11
